id,imdb_id,popularity,budget,revenue,original_title,cast,homepage,director,tagline,keywords,overview,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
157336,tt0816692,24.949134,165000000,621752480,Interstellar,Matthew McConaughey|Jessica Chastain|Anne Hathaway|Michael Caine|Casey Affleck,http://www.interstellarmovie.net/,Christopher Nolan,Mankind was born on Earth. It was never meant to die here.,saving the world|artificial intelligence|father-son relationship|single parent|nasa,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,169,Adventure|Drama|Science Fiction,Paramount Pictures|Legendary Pictures|Warner Bros.|Syncopy|Lynda Obst Productions,2014-11-05,6498,8,2014,151980023.37729,572690645.122961
205596,tt2084970,8.110711,14000000,233555708,The Imitation Game,Benedict Cumberbatch|Keira Knightley|Matthew Goode|Rory Kinnear|Allen Leech,http://theimitationgamemovie.com/,Morten Tyldum,The true enigma was the man who cracked the code.,gay|england|world war ii|mathematician|biography,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",113,History|Drama|Thriller|War,Black Bear Pictures|Bristol Automotive,2014-11-14,3478,8,2014,12895274.7108004,215126072.495392
244786,tt2582802,4.780419,3300000,13993093,Whiplash,Miles Teller|J.K. Simmons|Melissa Benoist|Austin Stowell|Jayson Blair,http://sonyclassics.com/whiplash/,Damien Chazelle,The road to greatness can take you to the edge.,jazz|obsession|conservatory|music teacher|new york city,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",105,Drama|Music,Bold Films|Blumhouse Productions|Right of Way Films,2014-10-10,2372,8.2,2014,3039600.46754581,12888912.7349127
265177,tt3612616,1.737699,4900000,3494070,Mommy,Anne Dorval|Suzanne ClÃ©ment|Antoine-Olivier Pilon|Patrick Huard|Alexandre Goyette,,Xavier Dolan,,quebec|dysfunctional family|single mother|mother son relationship|behavioral disorders,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",138,Drama,TÃ©lÃ©film Canada|Super Ã‰cran|SODEC|Metafilms,2014-05-22,389,8,2014,4513346.14878015,3218356.60776903
110416,tt1865505,1.37667,0,857522,Song of the Sea,Brendan Gleeson|Fionnula Flanagan|David Rawle|Pat Shortt|Jon Kenny,http://www.cartoonsaloon.ie/2009/06/feature-films-song-of-the-sea/,Tomm Moore,Let the song of the sea sway your heart...,fairy tale|lighthouse|folk music|lighthouse keeper   |irish,"The story of the last Seal Childâ€™s journey home. After their motherâ€™s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his motherâ€™s folktales. But this is no bedtime story; these fairy folk have been in our world far too long. It soon becomes clear to Ben that Saoirse is the key to their survival.",93,Family|Animation|Fantasy,Irish Film Board|Digital Graphics|Big Farm|Cartoon Saloon|Super Productions,2014-09-06,263,8,2014,0,789855.840039643
293299,tt3689498,0.7057,0,0,Feast,Tommy Snider|Katie Lowes|Ben Bledsoe|Stephen Apostolina|Kirk Baily,,Patrick Osborne,Pet is not just a pet,cake|pixar animated short|food|dog|organic food,"This Oscar-winning animated short film tells the story of one man's love life as seen through the eyes of his best friend and dog, Winston, and revealed bite by bite through the meals they share.",6,Romance|Comedy|Animation|Drama|Family,Walt Disney Animation Studios,2014-11-07,318,8,2014,0,0
374430,tt3973198,0.129531,0,0,Black Mirror: White Christmas,Jon Hamm|Rafe Spall|Oona Chaplin|Natalia Tena|Janet Montgomery,,Carl Tibbetts,,artificial intelligence|confession|technology|murder|justice,"This feature-length special consists of three interwoven stories. In a mysterious and remote snowy outpost, Matt and Potter share a Christmas meal, swapping creepy tales of their earlier lives in the outside world. Matt is a charismatic American trying to bring the reserved, secretive Potter out of his shell. But are both men who they appear to be?",74,Drama|Horror|Mystery|Science Fiction|Thriller,,2014-12-16,41,8.8,2014,0,0
298931,tt4085696,0.097531,0,0,Billy Elliot: The Musical,Elliott Hanna|Ruthie Henshall|Deka Walmsley|Ann Emery|Chris Grahamson,http://billyelliotthemusical.com/live-in-cinemas/,Stephen Daldry|Brett Sullivan,,,A talented young dancer has to learn to fight for his dream despite social and parental disapproval.,163,Drama|Music|Comedy,Universal Pictures|Tiger Aspect Productions|Working Title Films|Universal Stage Productions|Old Vic Productions,2014-09-28,10,8.1,2014,0,0
283559,tt3785068,0.004853,0,0,One Direction: Where We Are - The Concert,Harry Styles|Niall Horan|Zayn Malik|Louis Tomlinson|Liam Payne,,Paul Dugdale,,live concert|one direction,"From X Factor to the San Siro Stadium in Milano, One Direction hit the world with success. See them perform live in the San Siro Stadium and watch 15 minutes of exclusive footage never seen before. The boys are back.",106,Documentary|Music,Fulwell 73,2014-10-08,32,8.3,2014,0,0
19105,tt1361558,0.103773,0,0,Iron Maiden: Flight 666,Bruce Dickinson|Steve Harris|Nicko McBrain|Dave Murray|Adrian Smith,http://www.ironmaiden.com/,Sam Dunn|Scot McFadyen,,tour|heavy metal|live concert|loud music,"A chronological account of the heavy metal band Iron Maiden's 2008 world tour through India, Australia, Japan, USA, Canada, Mexico and South America in a jet piloted by the band's front man, Bruce Dickinson. Features interviews with the musicians, their road crew and fans.",112,Documentary|Music,Banger Films,2009-04-21,28,8.3,2009,0,0
281979,tt1413314,0.056777,0,0,Doctor Who: The Waters of Mars,David Tennant,,,,,"The Doctor joins forces with his oldest companion on record when a military base comes under attack from sentient, dangerous waters. It may be another stand against immeasurable odds, but waiting in the wings for the Time Lord is a sign all songs must end....",62,Science Fiction|Adventure|Family,BBC Wales,2009-12-19,25,8,2009,0,0
58496,tt1424432,0.629432,0,8212430,Senna,Ayrton Senna|Alain Prost|Frank Williams|Ron Dennis|Viviane Senna,http://www.sennamovie.co.uk/,Asif Kapadia,The legend of the greatest driver who ever lived.,brazilian|career|legend|champion|sport,"Senna's remarkable story, charting his physical and spiritual achievments on the track and off, his quest for perfection, and the mythical status he has since attained, is the subject of Senna, a documentary feature that spans the racing legend's years as an F1 driver, from his opening season in 1984 to his untimely death a decade later.",106,Documentary,Universal Pictures|StudioCanal|Midfield Films|Working Title Films,2010-10-07,178,8,2010,0,8212430
46967,tt1717578,0.247732,0,0,Bill Burr: Let It Go,Bill Burr,http://www.billburr.com/,Shannon Hartman,,,"Itâ€™s always been a dream of mine to do a show at the Fillmore. The name itself is synonymous with legendary performances. Countless iconic musicians and comedians have been on that stage. To be a part of that history was something Iâ€™ll never forget. As much as I was trying to keep my head together before the show, I couldnâ€™t help but feel like a tourist or just some random dude who won a contest. LET IT GO represents the culmination of material I developed on the road from 2008-2009. As always thanks to everyone who came out to my shows, laughed at the funny stuff and stared during the bombing. I hope you enjoy it. â€“ Bill Burr",65,Comedy,,2010-09-18,12,8,2010,0,0
51299,tt1828232,0.222293,0,0,Life Cycles,,http://www.lifecyclesfilm.com/,Derek Frankowski,,sport|cycling,"Life Cycles tells a spectacular story of the bike, from its creation to its eventual demise. A visually stunning journey, with thought provoking narration, Life Cycles uses Ultra HD to document the many stories surrounding the mountain bike and its culture. Ride along into breath taking natural settings, as we battle the elements, showcase the progression of riding, take a road trip, fix the bike, and show the destruction and eventual creation of trails. Semenuk, Hopkins, Schwartz, McIntosh, McCaul Agassiz, Hunter and Vanderham guide you through this wonderful story. Life Cycles is a celebration of the bicycle, and is sure to entertain anyone who has ever ridden one.",47,Documentary,,2010-10-02,27,8.8,2010,0,0
352812,tt1736313,0.172275,0,0,Tick Tock Tale,Dean Wellins,,Dean Wellins,,animation|clocks,"Amidst an old London clock shop, a small, quirky mantle clock comes to the aide of the store's more expensive clocks when a thief breaks in and threatens to steal them away.",6,Animation,Walt Disney,2010-06-10,13,8.3,2010,0,0
41120,tt1545103,0.145026,0,0,Rush: Beyond the Lighted Stage,Sebastian Bach|Jack Black|Jimmy Chamberlin|Geddy Lee|Neil Peart,,Sam Dunn|Scot McFadyen,The band you know. The story you don't.,literature|interview|biography|live performance|gene simmons,"An in-depth look at the Canadian rock band Rush, chronicling the band's musical evolution from their progressive rock sound of the '70s to their current heavy rock style",107,Documentary|Music,,2010-06-29,14,8.4,2010,0,0
55244,tt1621444,0.052322,0,1339650,Bill Cunningham New York,Bill Cunningham|Tom Wolfe|Anna Wintour|Carmen Dell'Orefice|Iris Apfel,http://billcunninghamnewyork.com/,Richard Press,"He who seeks beauty, will find it.",fashion|milliner|new york city ballet|poncho|garment district manhattan new york city,"Chronicles a man who is obsessively interested in only one thing, the pictures he takes that document the way people dress. The 80-year-old New York Times photographer has two columns in the paper's Style section, yet nobody knows who he is.",84,Documentary,First Thought Films,2010-03-24,16,8.1,2010,0,1339650
241829,tt1805454,0.033048,0,0,The Making of The Walking Dead,,,,,,The Making of the TV Series The Walking Dead,30,Documentary,,2010-07-31,42,8.4,2010,0,0
45644,,0.067753,0,0,Opeth: In Live Concert At The Royal Albert Hall,"Mikael Ã…kerfeldt|Martin ""Axe"" Axenrot|Martin Mendez|Per Wiberg|Fredrik Ã…kesson",http://www.opeth.com,,"The Loyal Disharmonic Orchestra, Conducted By The Powers That Be",,"As part of the ongoing celebration of their 20th anniversary, Sweden's Opeth is releasing live footage from the band's recent performance at London's Royal Albert Hall. 'In Live Concert at the Royal Albert Hall' is a fierce testament to Opeth's continued success in the progressive metal community. Opeth performed two sets that evening - the first of the classic, 'Blackwater Park' in its entirety and the second, a chronologically arranged selection of material from the rest of Opeth's catalogue. Bonus DVD features include an exclusive interview and the behind-the-scenes documentary, 'On Tour with Opeth.'  [Tracklist:] 1-01 The Leper Affinity 1-02 Bleak 1-03 Harvest 1-04 The Drapery Falls 1-05 Dirge For November 1-06 The Funeral Portrait 1-07 Patterns In The Ivy 1-08 Blackwater Park 2-01 Forest Of October 2-02 Advent 2-03 April Ethereal 2-04 The Moor 2-05 Wreath 2-06 Hope Leaves 2-07 Harlequin Forest 2-08 The Lotus Eater",163,Music,,2010-09-21,10,8.6,2010,0,0
550,tt0137523,8.947905,63000000,100853753,Fight Club,Edward Norton|Brad Pitt|Meat Loaf|Jared Leto|Helena Bonham Carter,http://www.foxmovies.com/movies/fight-club,David Fincher,How much can you know about yourself if you've never been in a fight?,support group|dual identity|nihilism|rage and hate|insomnia,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",139,Drama,Regency Enterprises|Fox 2000 Pictures|Taurus Film|Linson Films|Atman Entertainment,1999-10-14,5923,8.1,1999,82470329.3354423,132022892.45437
497,tt0120689,2.719461,60000000,284600000,The Green Mile,Tom Hanks|Michael Clarke Duncan|David Morse|Bonnie Hunt|James Cromwell,http://thegreenmile.warnerbros.com/,Frank Darabont,Miracles do happen.,southern u.s.|black people|mentally disabled|indian|heal,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cellblock's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",189,Fantasy|Drama|Crime,Castle Rock Entertainment|Darkwoods Productions|Warner Bros.,1999-12-10,2299,8,1999,78543170.7956593,372556440.140744
331214,tt0185906,0.537593,0,125000000,Band of Brothers,Damian Lewis|Ron Livingston|Frank John Hughes|Frank John Hughes|Scott Grimes,http://www.hbo.com/band-of-brothers,Phil Alden Robinson|Richard Loncraine|Mikael Salomon|David Nutter|Tom Hanks|David Leland|David Frankel|Tony To,Ordinary men. Extraordinary times.,world war ii|us army|war|paratroops|combat,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.",705,Action|Drama|War,HBO,2001-09-09,313,8,2001,0,153936014.58673
155,tt0468569,8.46666799999999,185000000,1001921825,The Dark Knight,Christian Bale|Michael Caine|Heath Ledger|Aaron Eckhart|Gary Oldman,http://thedarkknight.warnerbros.com/dvdsite/,Christopher Nolan,Why So Serious?,dc comics|crime fighter|secret identity|scarecrow|sadism,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",152,Drama|Action|Crime|Thriller,DC Comics|Legendary Pictures|Warner Bros.|Syncopy,2008-07-16,8432,8.1,2008,187365527.254695,1014733032.48168
13042,tt1245104,0.905428,0,0,Presto,Doug Sweetland,http://www.pixar.com/shorts/presto/index.html,Doug Sweetland,An Amazing Five Minutes Of Animated Fun,stage|banjo|magic|bunny|rabbi,"Dignity. Poise. Mystery. We expect nothing less from the great turn-of-the-century magician, Presto. But when Presto neglects to feed his rabbit one too many times, the magician finds he isn't the only one with a few tricks up his sleeve!",5,Animation|Family,Pixar Animation Studios,2008-06-18,279,8,2008,0,0
33409,tt1277737,0.511786,0,0,The Stoning of Soraya M.,Shohreh Aghdashloo|Mozhan MarnÃ²|Jim Caviezel|Navid Negahban|Ali Pourtash,http://www.thestoning.com/,Cyrus Nowrasteh,When a deadly conspiracy became a shameful cover-up One witness refused to be silent.,adultery|persia|death penalty|sadism|double moral standard,"A drama set in 1986 Iran and centered on a man, Sahebjam, whose car breaks down in a remote village and enters into a conversation with Zahra, who relays to him the story about her niece, Soraya, whose arranged marriage to an abusive tyrant had a tragic ending.",114,Crime|Drama,Roadside Attractions|Mpower Pictures|Prime Meridian Pctures|Fallen Films,2008-09-07,24,8,2008,0,0
20313,tt1270491,0.224721,0,0,John Mayer: Where the Light Is Live in Los Angeles,John Mayer|Steve Jordan|Pino Palladino|David Ryan Harris|Robbie McIntosh,,,,rock|music|live|live concert|live performance,"Where The Light Is: John Mayer Live in Los Angeles captures the multi-GrammyÂ® Award-winning, Platinum-selling singer/songwriter in the element where fans love him the most: live on stage. This special concert includes three sets: an acoustic performance, a rare set with John Mayer Trio (John Mayer, Steve Jordan and Pino Palladino), as well as a set featuring Mayer's full band.",164,Music,,2008-07-01,16,8.5,2008,0,0
29751,tt1265589,0.186719,0,0,Batman Unmasked: The Psychology of the Dark Knight,Robert Clotworthy|Dan Didio|Len Wein|Christopher Nolan|Christian Bale,http://www.history.com/,Steven Smith,,super powers|special feature,"Delve into the world of Batman and the vigilante justice that he brought to the city of Gotham. Batman is a man who, after experiencing great tragedy, devotes his life to an ideal--but what happens when one man takes on the evil underworld alone? Examine why Batman is who he is--and explore how a boy scarred by tragedy becomes a symbol of hope to everyone else.",45,Documentary,Warner Bros. Pictures,2008-07-15,13,8,2008,0,0
15584,tt1152758,0.102845,0,0,Dear Zachary: A Letter to a Son About His Father,Kurt Kuenne|Andrew Bagby|David Bagby|Kathleen Bagby|Shirley Turner,,Kurt Kuenne,,murder,"In 2001, Andrew Bagby, a medical resident, is murdered not long after breaking up with his girlfriend. Soon after, when she announces she's pregnant, one of Andrew's many close friends, Kurt Kuenne, begins this film, a gift to the child.",95,Crime|Documentary,MSNBC Films,2008-10-31,74,8.3,2008,0,0
32836,tt1254947,0.042517,0,0,Bill Burr: Why Do I Do This?,Bill Burr,,,,,"One of America's fastest-rising comedians, Bill Burr wields his razor-sharp wit with rare skill. In this brand-new stand-up performance, Bill takes aim at the stuff that drives us crazy, political correctness gone haywire, and girlfriends, or as he calls them: relentless psycho robots. A keenly observant social commentator, Bill Burr is also one of the funniest voices in comedy today.",55,Comedy,,2008-09-23,10,8,2008,0,0
22258,tt1321823,0.002475,0,0,Foo Fighters: Live at Wembley Stadium,Dave Grohl|Nate Mendel|Chris Shiflett|Pat Smear|Taylor Hawkins,,,,,Foo Fighters captured over their two sold-out nights at Wembley on June 6th and 7th 2008.,120,Music,,2008-08-25,10,8.4,2008,0,0
68450,tt1646967,0.321341,0,0,The Art of Flight,Travis Rice|Nicolas Muller|Mark Landvik|Jake Blauvelt|Pat Moore,http://www.artofflightmovie.com/,Curt Morgan,,sport|snowboard,"A new breed of action sports film comes to life as Red Bull Media House, in association with Brain Farm Digital Cinema, present â€œThe Art of FLIGHTâ€, a Curt Morgan Film. Two years in the making, â€œThe Art of FLIGHTâ€ gives iconic snowboarder Travis Rice and friends the opportunity to redefine what is possible in the mountains. Experience the highs, as new tricks are landed and new zones opened, alongside the lows, where avalanches, accidents, and wrong-turns strike. Immerse yourself in a cinematic experience as Brain Farm and their arsenal of filmmaking technology capture the culture, wildlife and scenic landscapes the riders take in along the way. Join in the ride as the creators of â€œThatâ€™s It, Thatâ€™s Allâ€ completely rewrite the formula for action sports cinema with â€œThe Art of FLIGHT.â€",80,Adventure|Documentary,Red Bull Media House|Brain Farm Digital Cinema,2011-09-08,60,8.5,2011,0,0
414419,tt6019206,0.146477,30000000,0,Kill Bill: The Whole Bloody Affair,Uma Thurman|Lucy Liu|Vivica A. Fox|Daryl Hannah|David Carradine,http://www.miramax.com/movie/kill-bill-volume-1/,Quentin Tarantino,The bride is back for the final cut,sword|martial law|revenge|wedding,"Kill Bill: The Whole Bloody affair is a complete edit of the two part martial arts action films Kill Bill: Volume 1 and Kill Bill: Volume 2. The film was originally scheduled to be released as one part. However, due to the film's over 4 hour running time, it was split into two parts.",247,Crime|Action,Miramax Films|A Band Apart|Super Cool ManChu,2011-03-28,28,8.1,2011,29081941.2777441,0
75964,tt1113829,0.256142,0,0,George Harrison: Living in the Material World,George Harrison|Paul McCartney|John Lennon|Ringo Starr|Eric Clapton,,Martin Scorsese,,guitar|composer|song|fame|the beatles,"Inter-cut with archive material, friends, family and associates of the musician tell the story of his life and how spirituality became such a major part of it.",208,Music|Documentary,,2011-10-05,24,8,2011,0,0
125336,tt2044056,0.006925,0,0,The Story of Film: An Odyssey,Mark Cousins|Jean-Michel Frodon|Cari Beauchamp|Agnes de Mille,http://www.channel4.com/programmes/the-story-of-film-an-odyssey,Mark Cousins,,cinema|nouvelle vague|hindi cinema|cinema novo|russian cinema,"The Story of Film: An Odyssey, written and directed by award-winning film-maker Mark Cousins, is the story of international cinema told through the history of cinematic innovation.  Five years in the making, The Story of Film: An Odyssey covers six continents and 12 decades, showing how film-makers are influenced both by the historical events of their times, and by each other. It provides a worldwide guided tour of the greatest movies ever made; an epic tale that starts in nickelodeons and ends as a multi-billion-dollar globalised digital industry.  Described as a love letter to the movies, Cousins visits the key sites in the history of cinema; from Hollywood to Mumbai; from Hitchcock s London to the village where Pather Panchali was shot, and features interviews with legendary filmmakers and actors including Stanley Donen, Kyoko Kagawa, Gus van Sant, Lars Von Trier, Claire Denis, Bernardo Bertolucci, Robert Towne, Jane Campion and Claudia Cardinale.",900,Documentary,,2011-09-03,14,9.2,2011,0,0
124277,tt1969151,0.013745,0,0,The Maker,,http://www.themakerfilm.com/,Christopher Kezelos,Life is what you make it.,,A strange creature races against time to make the most important and beautiful creation of his life.,6,Drama|Animation,Zealous Creative,2011-06-01,23,8.1,2011,0,0
51452,tt0432232,0.090605,0,0,The Century of the Self,Martin Bergmann|Ann Bernays|Edward Bernays|Anna Freud|Sigmund Freud,,Adam Curtis,,tv mini-series,A documentary about the rise of psychoanalysis as a powerful mean of persuasion for both governments and corporations.,235,Documentary,British Broadcasting Corporation (BBC)|RDF Media,2002-03-17,14,8.3,2002,0,0
680,tt0110912,8.09375399999999,8000000,213928762,Pulp Fiction,John Travolta|Samuel L. Jackson|Uma Thurman|Bruce Willis|Ving Rhames,,Quentin Tarantino,Just because you are a character doesn't mean you have character.,transporter|brothel|drug dealer|boxer|massage,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",154,Thriller|Crime,Miramax Films|A Band Apart|Jersey Films,1994-10-14,5343,8.1,1994,11768892.4927853,314713075.136581
278,tt0111161,7.192039,25000000,28341469,The Shawshank Redemption,Tim Robbins|Morgan Freeman|Bob Gunton|William Sadler|Clancy Brown,,Frank Darabont,Fear can hold you prisoner. Hope can set you free.,prison|corruption|police brutality|prison cell|delinquent,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",142,Drama|Crime,Castle Rock Entertainment,1994-09-10,5754,8.4,1994,36777789.039954,41693462.7185759
13,tt0109830,6.715966,55000000,677945399,Forrest Gump,Tom Hanks|Robin Wright|Gary Sinise|Mykelti Williamson|Sally Field,,Robert Zemeckis,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",vietnam veteran|hippie|mentally disabled|running|based on novel,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",142,Comedy|Drama|Romance,Paramount Pictures,1994-07-06,4856,8.1,1994,80911135.8878989,997333314.601179
140420,tt2388725,1.182679,0,0,Paperman,John Kahrs|Kari Wahlgren|Jeff Turley|Jack Goldenberg,http://www.disneyanimation.com/projects/shorts/paperman/,John Kahrs,"Delicate, charming and sweet.",train station|skyscraper|black and white|paper airplane|office romance,An urban office worker finds that paper airplanes are instrumental in meeting a girl in ways he never expected.,7,Animation|Family|Romance,Disney,2012-11-02,507,8,2012,0,0
